T_sat_K,P_sat_Pa,rho_liq_kg_m3,rho_vap_kg_m3,h_f_J_kg,h_g_J_kg,h_fg_J_kg,cp_liq_J_kgK,cp_vap_J_kgK,mu_liq_Pa_s,mu_vap_Pa_s,k_liq_W_mK,k_vap_W_mK,phase
373.15,101325,958.37,0.5955,419060,2675600,2256540,4216,2034,2.817e-04,1.227e-05,0.6791,0.02509,saturated
378.15,112925,955.21,0.6602,440950,2681700,2240750,4211,2046,2.665e-04,1.244e-05,0.6740,0.02550,saturated
383.15,125530,951.97,0.7301,462900,2687700,2224800,4206,2060,2.521e-04,1.261e-05,0.6687,0.02591,saturated
388.15,139070,948.65,0.8057,484920,2693600,2208680,4202,2075,2.386e-04,1.278e-05,0.6632,0.02634,saturated
393.15,153840,945.25,0.8876,507010,2699400,2192390,4199,2090,2.258e-04,1.296e-05,0.6575,0.02678,saturated
398.15,169950,941.77,0.9763,529180,2705100,2175920,4197,2107,2.138e-04,1.314e-05,0.6516,0.02723,saturated
403.15,187530,938.21,1.0723,551420,2710700,2159280,4196,2124,2.025e-04,1.332e-05,0.6455,0.02769,saturated
408.15,206700,934.57,1.1762,573750,2716200,2142450,4196,2143,1.918e-04,1.351e-05,0.6392,0.02817,saturated
413.15,227570,930.84,1.2885,596160,2721500,2125340,4197,2163,1.817e-04,1.370e-05,0.6328,0.02866,saturated
418.15,250280,927.02,1.4097,618660,2726700,2108040,4199,2185,1.722e-04,1.389e-05,0.6261,0.02916,saturated
423.15,274970,923.12,1.5403,641250,2731700,2090450,4202,2208,1.633e-04,1.409e-05,0.6193,0.02968,saturated
428.15,301800,919.12,1.6809,663950,2736600,2072650,4206,2232,1.549e-04,1.429e-05,0.6122,0.03021,saturated
433.15,330940,915.04,1.8320,686750,2741300,2054550,4211,2258,1.470e-04,1.449e-05,0.6050,0.03075,saturated
438.15,362540,910.87,1.9942,709660,2745900,2036240,4217,2286,1.396e-04,1.470e-05,0.5976,0.03131,saturated
443.15,396800,906.61,2.1681,732680,2750300,2017620,4224,2315,1.326e-04,1.491e-05,0.5901,0.03188,saturated
448.15,433870,902.26,2.3542,755820,2754600,1998780,4232,2346,1.261e-04,1.513e-05,0.5824,0.03247,saturated
453.15,474010,897.81,2.5533,779080,2758700,1979620,4241,2378,1.200e-04,1.535e-05,0.5745,0.03307,saturated
458.15,517360,893.27,2.7660,802470,2762700,1960230,4252,2413,1.142e-04,1.557e-05,0.5665,0.03369,saturated
463.15,564110,888.63,2.9929,825990,2766500,1940510,4264,2449,1.088e-04,1.580e-05,0.5583,0.03432,saturated
468.15,614430,883.89,3.2346,849650,2770100,1920450,4277,2487,1.037e-04,1.603e-05,0.5499,0.03497,saturated
473.15,668490,879.05,3.4918,873440,2773600,1900160,4292,2527,9.891e-05,1.627e-05,0.5414,0.03563,saturated
478.15,726470,874.10,3.7651,897380,2776900,1879520,4308,2569,9.437e-05,1.652e-05,0.5327,0.03631,saturated
483.15,788570,869.05,4.0552,921460,2780000,1858540,4326,2613,9.005e-05,1.677e-05,0.5239,0.03701,saturated
488.15,854970,863.89,4.3628,945690,2782900,1837210,4345,2659,8.595e-05,1.703e-05,0.5149,0.03772,saturated
493.15,925880,858.62,4.6886,970070,2785700,1815630,4366,2708,8.204e-05,1.729e-05,0.5058,0.03845,saturated
498.15,1001500,853.24,5.0333,994610,2788200,1793590,4389,2759,7.833e-05,1.756e-05,0.4965,0.03920,saturated
503.15,1082000,847.74,5.3975,1019300,2790600,1771300,4414,2812,7.479e-05,1.783e-05,0.4871,0.03996,saturated
508.15,1167600,842.12,5.7819,1044200,2792800,1748600,4440,2868,7.143e-05,1.812e-05,0.4776,0.04074,saturated
513.15,1258400,836.38,6.1872,1069200,2794800,1725600,4469,2927,6.823e-05,1.841e-05,0.4679,0.04154,saturated
518.15,1354700,830.51,6.6142,1094400,2796600,1702200,4500,2989,6.518e-05,1.871e-05,0.4581,0.04235,saturated
523.15,1456600,824.51,7.0636,1119800,2798200,1678400,4533,3054,6.228e-05,1.901e-05,0.4482,0.04318,saturated
533.15,1681200,812.17,8.0240,1170900,2800900,1630000,4604,3191,5.686e-05,1.965e-05,0.4280,0.04490,saturated
543.15,1933700,799.36,9.0810,1222700,2803000,1580300,4683,3340,5.190e-05,2.031e-05,0.4075,0.04668,saturated
553.15,2217000,786.05,10.244,1275300,2804400,1529100,4770,3503,4.737e-05,2.100e-05,0.3868,0.04853,saturated
563.15,2533600,772.19,11.523,1328700,2805200,1476500,4867,3682,4.323e-05,2.172e-05,0.3659,0.05046,saturated
573.15,2886200,757.74,12.928,1382900,2805300,1422400,4975,3879,3.946e-05,2.248e-05,0.3449,0.05246,saturated
583.15,3278400,742.64,14.470,1437900,2804600,1366700,5097,4096,3.601e-05,2.327e-05,0.3238,0.05454,saturated
593.15,3713600,726.83,16.161,1493900,2803000,1309100,5236,4337,3.285e-05,2.410e-05,0.3026,0.05671,saturated
600.00,4163800,712.27,17.900,1540700,2800900,1260200,5380,4605,3.020e-05,2.500e-05,0.2840,0.05900,saturated
